needsPractice,type,pronoun,singular,plural,translations,categories,class
TRUE,noun,der,Wünsche,,"wishes, deseos",shopping,
TRUE,noun,die,kasse,,"cashier, caja",shopping,
TRUE,noun,die,Umkleidekabine,,"changing room, vestidor",shopping,
TRUE,verb,,holen,,"fetch, traer",shopping,
TRUE,verb,,kosten,,"cost, costo",shopping,
TRUE,verb,,zahlen,,"pay, pagar",shopping,
TRUE,verb,,tragen,,"wear, vestir",shopping,
TRUE,verb,,anziehen,,"wear, ponerse",shopping,
TRUE,verb,,anprobieren,,"try on, probarse",shopping,
TRUE,verb,,umtauschen,,"exchange, cambiar",shopping,
TRUE,question,,wenn,,"if, si",shopping,
TRUE,verb,,ausziehen,,"take off, sacar",shopping,
TRUE,verb,,sich umschauen,,"look around, mirar alrededor",shopping,
TRUE,noun,das,Kleidungsstück,Kleidungsstücke,"clothing, clothes",shopping,
TRUE,noun,die,Stoff,Stoffe,"fabrics, tejidos",shopping,
TRUE,verb,,genießen,,"enjoy, disfrutar",shopping,
TRUE,noun,,Laden,,shop,shopping,
TRUE,question,,wer,,who,shopping,
TRUE,verb,,braucht,,"need, necesitar",shopping,
TRUE,adjective,,eng,,"narrow, estrecho",shopping,
TRUE,adjective,,schmal,,"narrow, angosto",shopping,
TRUE,adjective,,kurze,,"short, corto",shopping,
TRUE,adjective,,weit,,"wide, ancho",shopping,
TRUE,verb,,leisten,,"afford, poder pagar",shopping,248
TRUE,noun,der,Gürtel,Gürtel,"belt, correa",shopping,248
TRUE,noun,die,Kirche,Kirchen,"church, iglesia",general,248
TRUE,noun,die,Kirsche,Kirschen,"cherry, cereza",general,248
TRUE,verb,,aufsteht,,"get up, lvantarse",trennbare,
TRUE,verb,,fernsehen,,"watch tv, mirar tv",trennbare,
TRUE,verb,,aufräumen,,"clean up, limpiar",trennbare,
TRUE,verb,,anfangen,,"start, empezer",trennbare,
TRUE,verb,,aufbauen,,"build up, construir",trennbare,
TRUE,verb,,entdeckt,,"discover, descubrir",trennbare,
TRUE,verb,,empfinden,,"feel, sentir",trennbare,
TRUE,verb,,versprechen,,"promise, promesa",trennbare,
TRUE,verb,,abfahren,,"depart, salir",trennbare,
TRUE,verb,,wegwerfen,,"throw away, tirar",trennbare,
TRUE,verb,,vorbereiten,,"prepare, preparar",trennbare,
TRUE,verb,,arbeiten,,"work, trabajar",work,211
TRUE,noun,die,Arbeit,Arbeiten,"job, trabajo",work,211
TRUE,noun,der ,Beruf,Berufe,"job, trabajo",work,211
TRUE,noun,das,Büro,Büros,"office, oficina",work,211
TRUE,noun,das,Meeting,,"meeting, reunion",work,211
TRUE,verb,,bauen,,"build, construir",work,211
TRUE,verb,,verkaufen,,"sell, vender",work,211
TRUE,adjective,,hart,,"hard, dificil",work,211
TRUE,adjective,,gut bezahlt,,"well paid, bien pagado",work,211
TRUE,adjective,,schlecht bezahlt,,"poorly paid, mal pagado",work,211
TRUE,adjective,,anstrengend,,"exhausting, agotador",work,211
TRUE,adjective,,einfach,,"easy, facil",work,211
TRUE,adjective,,langweilig,,"boring, aburrido",work,211
TRUE,verb,,planen,,"plan, planear",work,212
TRUE,verb,,untersuchen,,"examine, examinar",work,212
TRUE,verb,,backen,,"bake, hornear",work,212
TRUE,verb,,briefe zustellen,,"deliver letters, entrega cartas",work,212
TRUE,verb,,reparieren,,"repair, reparar",work,212
TRUE,verb,,kochen,,"cook, cocinar",work,212
TRUE,verb,,haare schneiden,,"cut hair, cortar cabello",work,212
TRUE,verb,,unterrichten,,"teacher, profesor",work,212
TRUE,adjective,,in Vollzeit,,"full-time, tiempo completo",work,212
TRUE,adjective,,in Teilzeit,,part time- medio tiempo,work,212
TRUE,adjective,,frei,,"free, libre",work,212
TRUE,adjective,,arbeitslos,,"unemployed, desempleado",work,212
TRUE,verb,,pendeln,,commute,work,212
TRUE,verb,,streiken,,"strike, protestar",work,212
TRUE,verb,,organisieren,,"orginize, organizar",work,212
TRUE,noun,der ,Termin,Termine,"meeting, reunion",work,212
TRUE,noun,der,Schreibtisch,Schreibtische,"desk, escritorio",work,212
TRUE,noun,die,Aufgabe,Aufgaben,"task, tarea",work,212
TRUE,verb,die,idee,ideen,idea,work,214
TRUE,verb,der,Job,,"job, trabajo",work,214
TRUE,verb,der,Anwalt,Anwälte,abogado,work,214
TRUE,verb,die,Anwältin,Anwältinnen,abogada,work,214
TRUE,verb,der,Elektriker,Elektriker,electicista,work,214
TRUE,verb,der,Zahnarzt,Zahnärzte,dentista,work,214
TRUE,verb,,verdiene,,"deserve, merecer",work,214
TRUE,verb,,werden,,"become, volverse",work,214
TRUE,noun,die,Reise,Reisen,"travel, viaje",travel,251
TRUE,verb,,reisen,,"travel, viajar",travel,251
TRUE,noun,der,Koffer,Koffer,"suitcase, maleta",travel,251
TRUE,adjective,,schwer,,heavy,travel,251
TRUE,noun,das,Gepäck,Gepäcke,"luggage, equipaje",travel,251
TRUE,verb,,einpacken,,"pack in, empacar",travel,251
TRUE,verb,,auspacken,,"pack out, desempacar",travel,251
TRUE,adjective,,leer,,empty,travel,251
TRUE,adverb,,bisher,,so far,"general, travel",251
TRUE,noun,die,Sehenswürdigkeit,Sehenswürdigkeiten,"worth seeing, sightseeing, turismo",travel,251
TRUE,noun,der,Urlaub,Urlaube,"vacation, vacacion",travel,251
TRUE,noun,das,Reisezizel,Reiseziele,"destination, destino",travel,251
TRUE,noun,der,Pass,Pässe,pasaporte,travel,251
TRUE,noun,die,Gesundheitsversicherung,,"insurance, seguro de salud",travel,251
TRUE,noun,die,Krankenversicherung,,"insurance, seguro de salud","general, travel",251
TRUE,verb,,brauchen,,"need, necesitar",travel,251
TRUE,noun,die,Sonne,Sonnen,"sun, sol",travel,251
TRUE,noun,der ,Zug,Züge,tren,travel,251
TRUE,pronoun,,etwas,,"something, algo",travel,251
TRUE,noun,der ,Flughafen,Flughäfen,"airport, aereopuerto",travel,251
TRUE,noun,der ,Hafen,Häfen,"port, puerto",travel,251
TRUE,noun,die,Wolke,Wolken,"cloud, nube",travel,251
TRUE,noun,die,Kreuzfahrt,,cruise,travel,251
TRUE,noun,das,Schiff,Schiffe,Ship,travel,251
